Fund,SecurityID,SecurityName,AssetClass,Quantity,Price,MarketValue,Key
EQGL,EQ0047,Global Equity Holding 27,Equity,6188,388.5,2404038.0,EQGL|EQ0047
EQGL,EQ0010,LVMH,Equity,24442,335.52,8200779.84,EQGL|EQ0010
EQGL,EQ0003,Nestle SA,Equity,30364,205.72,6246482.08,EQGL|EQ0003
EQGL,EQ0036,Global Equity Holding 16,Equity,47256,457.86,21636632.16,EQGL|EQ0036
EQGL,EQ0017,Alphabet Inc,Equity,15848,261.55,4145044.4,EQGL|EQ0017
EQGL,EQ0022,Global Equity Holding 02,Equity,52152,234.01,12204089.52,EQGL|EQ0022
EQGL,EQ0046,Global Equity Holding 26,Equity,7045,388.55,2737334.75,EQGL|EQ0046
EQGL,EQ0032,Global Equity Holding 12,Equity,30126,114.71,3455753.46,EQGL|EQ0032
EQGL,EQ0025,Global Equity Holding 05,Equity,52626,147.02,7737074.52,EQGL|EQ0025
EQGL,EQ0006,Samsung Electronics,Equity,14597,194.53,2839554.41,EQGL|EQ0006
EQGL,EQ0013,Shell PLC,Equity,23461,131.06,3074798.66,EQGL|EQ0013
EQGL,ET0085,iShares US Treasury,ETF,10958,64.66,708544.28,EQGL|ET0085
EQGL,ET0081,iShares Core MSCI World,ETF,50576,100.38,5076818.88,EQGL|ET0081
EQGL,EQ0007,ASML Holding,Equity,38626,250.69,9683151.94,EQGL|EQ0007
EQGL,CASH_USD_EQGL,USD Cash,Cash,5311390.66,1.0,5311390.66,EQGL|CASH_USD_EQGL
FIIG,BD0061,Corporate Note Series 01,Bond,2000,102.889,205778.0,FIIG|BD0061
FIIG,BD0069,Corporate Note Series 09,Bond,20000,96.868,1937360.0,FIIG|BD0069
FIIG,BD0065,Corporate Note Series 05,Bond,22000,100.794,2217468.0,FIIG|BD0065
FIIG,ET0084,iShares EUR Corp Bond,ETF,29509,52.2,1540369.8,FIIG|ET0084
FIIG,ET0083,SPDR Gold Shares,ETF,31873,118.57,3779181.61,FIIG|ET0083
FIIG,BD0059,Toyota 2.1% 2027,Bond,25000,102.184,2554600.0,FIIG|BD0059
FIIG,BD0052,US Treasury 3.0% 2033,Bond,36000,106.513,3834468.0,FIIG|BD0052
FIIG,BD0071,Corporate Note Series 11,Bond,24000,96.144,2307456.0,FIIG|BD0071
FIIG,BD0068,Corporate Note Series 08,Bond,16000,106.279,1700464.0,FIIG|BD0068
FIIG,BD0073,Corporate Note Series 13,Bond,15000,103.166,1547490.0,FIIG|BD0073
FIIG,BD0054,UK Gilt 4.25% 2032,Bond,19000,99.028,1881532.0,FIIG|BD0054
FIIG,BD0056,Microsoft 2.9% 2030,Bond,22000,104.682,2303004.0,FIIG|BD0056
FIIG,BD0051,US Treasury 2.5% 2030,Bond,26000,105.218,2735668.0,FIIG|BD0051
FIIG,BD0077,Corporate Note Series 17,Bond,26000,106.991,2781766.0,FIIG|BD0077
FIIG,BD0053,Bund 1.5% 2031,Bond,21000,98.259,2063439.0,FIIG|BD0053
FIIG,BD0067,Corporate Note Series 07,Bond,5000,101.368,506840.0,FIIG|BD0067
FIIG,ET0082,Vanguard S&P 500,ETF,13304,29.08,386880.32,FIIG|ET0082
FIIG,BD0066,Corporate Note Series 06,Bond,13000,94.507,1228591.0,FIIG|BD0066
FIIG,BD0057,Shell 2.5% 2028,Bond,39000,101.169,3945591.0,FIIG|BD0057
FIIG,BD0060,France OAT 2.0% 2032,Bond,4000,98.421,393684.0,FIIG|BD0060
FIIG,BD0058,JPM 4.0% 2031,Bond,11000,95.396,1049356.0,FIIG|BD0058
FIIG,BD0055,Apple 3.35% 2029,Bond,31000,98.558,3055298.0,FIIG|BD0055
FIIG,CASH_USD_FIIG,USD Cash,Cash,3313499.16,1.0,3313499.16,FIIG|CASH_USD_FIIG
BALM,BD0059,Toyota 2.1% 2027,Bond,25000,97.146,2428650.0,BALM|BD0059
BALM,BD0074,Corporate Note Series 14,Bond,31000,95.894,2972714.0,BALM|BD0074
BALM,BD0055,Apple 3.35% 2029,Bond,33000,101.549,3351117.0,BALM|BD0055
BALM,EQ0011,SAP SE,Equity,17717,258.53,4580376.01,BALM|EQ0011
BALM,EQ0031,Global Equity Holding 11,Equity,37916,142.66,5409096.56,BALM|EQ0031
BALM,EQ0012,Unilever PLC,Equity,50890,216.67,11026336.3,BALM|EQ0012
BALM,EQ0029,Global Equity Holding 09,Equity,53594,405.14,21713073.16,BALM|EQ0029
BALM,BD0064,Corporate Note Series 04,Bond,5000,102.401,512005.0,BALM|BD0064
BALM,EQ0026,Global Equity Holding 06,Equity,18974,368.09,6984139.66,BALM|EQ0026
BALM,BD0052,US Treasury 3.0% 2033,Bond,22000,99.949,2198878.0,BALM|BD0052
BALM,EQ0002,Microsoft Corp,Equity,53774,51.05,2745162.7,BALM|EQ0002
BALM,BD0066,Corporate Note Series 06,Bond,23000,98.263,2260049.0,BALM|BD0066
BALM,BD0076,Corporate Note Series 16,Bond,3000,103.796,311388.0,BALM|BD0076
BALM,EQ0042,Global Equity Holding 22,Equity,33923,431.84,14649308.32,BALM|EQ0042
BALM,BD0070,Corporate Note Series 10,Bond,24000,98.381,2361144.0,BALM|BD0070
BALM,EQ0037,Global Equity Holding 17,Equity,59120,77.65,4590668.0,BALM|EQ0037
BALM,EQ0020,Nvidia Corp,Equity,3629,358.34,1300415.86,BALM|EQ0020
BALM,EQ0001,Apple Inc,Equity,22567,189.47,4275769.49,BALM|EQ0001
BALM,EQ0016,TSMC ADR,Equity,52653,173.92,9157409.76,BALM|EQ0016
BALM,EQ0004,Toyota Motor,Equity,53394,318.01,16979825.94,BALM|EQ0004
BALM,EQ0046,Global Equity Holding 26,Equity,20078,52.09,1045863.02,BALM|EQ0046
BALM,EQ0036,Global Equity Holding 16,Equity,15084,465.63,7023562.92,BALM|EQ0036
BALM,EQ0018,Amazon.com,Equity,24613,97.82,2407643.66,BALM|EQ0018
BALM,ET0085,iShares US Treasury,ETF,18231,110.76,2019265.56,BALM|ET0085
BALM,BD0075,Corporate Note Series 15,Bond,8000,104.112,832896.0,BALM|BD0075
BALM,EQ0041,Global Equity Holding 21,Equity,8524,462.43,3941753.32,BALM|EQ0041
BALM,EQ0047,Global Equity Holding 27,Equity,32047,44.64,1430578.08,BALM|EQ0047
BALM,EQ0015,Sony Group,Equity,55891,187.99,10506949.09,BALM|EQ0015
BALM,ET0081,iShares Core MSCI World,ETF,44019,76.18,3353367.42,BALM|ET0081
BALM,EQ0024,Global Equity Holding 04,Equity,6008,73.26,440146.08,BALM|EQ0024
BALM,EQ0038,Global Equity Holding 18,Equity,9378,98.35,922326.3,BALM|EQ0038
BALM,EQ0010,LVMH,Equity,3638,46.39,168766.82,BALM|EQ0010
BALM,BD0061,Corporate Note Series 01,Bond,38000,95.187,3617106.0,BALM|BD0061
BALM,ET0084,iShares EUR Corp Bond,ETF,30746,38.91,1196326.86,BALM|ET0084
BALM,BD0058,JPM 4.0% 2031,Bond,10000,103.92,1039200.0,BALM|BD0058
BALM,EQ0028,Global Equity Holding 08,Equity,56319,238.72,13444471.68,BALM|EQ0028
BALM,BD0080,Corporate Note Series 20,Bond,2000,106.99,213980.0,BALM|BD0080
BALM,ET0083,SPDR Gold Shares,ETF,3342,63.83,213319.86,BALM|ET0083
BALM,EQ0003,Nestle SA,Equity,32573,430.74,14030494.02,BALM|EQ0003
BALM,EQ0014,Siemens AG,Equity,49475,302.27,14954808.25,BALM|EQ0014
BALM,CASH_USD_BALM,USD Cash,Cash,4790216.04,1.0,4790216.04,BALM|CASH_USD_BALM
MMUS,ET0083,SPDR Gold Shares,ETF,25407,79.64,2023413.48,MMUS|ET0083
MMUS,BD0065,Corporate Note Series 05,Bond,26000,104.082,2706132.0,MMUS|BD0065
MMUS,BD0064,Corporate Note Series 04,Bond,20000,99.834,1996680.0,MMUS|BD0064
MMUS,BD0052,US Treasury 3.0% 2033,Bond,23000,94.535,2174305.0,MMUS|BD0052
MMUS,BD0080,Corporate Note Series 20,Bond,30000,102.711,3081330.0,MMUS|BD0080
MMUS,BD0066,Corporate Note Series 06,Bond,11000,105.826,1164086.0,MMUS|BD0066
MMUS,BD0078,Corporate Note Series 18,Bond,30000,104.954,3148620.0,MMUS|BD0078
MMUS,BD0077,Corporate Note Series 17,Bond,35000,100.637,3522295.0,MMUS|BD0077
MMUS,BD0063,Corporate Note Series 03,Bond,19000,105.687,2008053.0,MMUS|BD0063
MMUS,BD0069,Corporate Note Series 09,Bond,13000,101.938,1325194.0,MMUS|BD0069
MMUS,BD0051,US Treasury 2.5% 2030,Bond,18000,94.798,1706364.0,MMUS|BD0051
MMUS,BD0054,UK Gilt 4.25% 2032,Bond,38000,99.488,3780544.0,MMUS|BD0054
MMUS,BD0076,Corporate Note Series 16,Bond,23000,98.366,2262418.0,MMUS|BD0076
MMUS,BD0056,Microsoft 2.9% 2030,Bond,32000,94.034,3009088.0,MMUS|BD0056
MMUS,BD0071,Corporate Note Series 11,Bond,34000,99.82,3393880.0,MMUS|BD0071
MMUS,ET0082,Vanguard S&P 500,ETF,29852,53.82,1606634.64,MMUS|ET0082
MMUS,ET0084,iShares EUR Corp Bond,ETF,52720,66.29,3494808.8,MMUS|ET0084
MMUS,BD0067,Corporate Note Series 07,Bond,38000,99.108,3766104.0,MMUS|BD0067
MMUS,BD0068,Corporate Note Series 08,Bond,34000,103.425,3516450.0,MMUS|BD0068
MMUS,BD0057,Shell 2.5% 2028,Bond,4000,96.738,386952.0,MMUS|BD0057
MMUS,BD0059,Toyota 2.1% 2027,Bond,26000,106.949,2780674.0,MMUS|BD0059
MMUS,BD0061,Corporate Note Series 01,Bond,5000,99.179,495895.0,MMUS|BD0061
MMUS,BD0060,France OAT 2.0% 2032,Bond,2000,100.206,200412.0,MMUS|BD0060
MMUS,BD0058,JPM 4.0% 2031,Bond,12000,106.985,1283820.0,MMUS|BD0058
MMUS,CASH_USD_MMUS,USD Cash,Cash,2444128.88,1.0,2444128.88,MMUS|CASH_USD_MMUS
