Date,FundCode,InvestmentsMV,Cash,Receivables,Payables,AccruedMgmtFee,SharesOutstanding
2026-05-05,EQGL,625160684.76,16980927.82,2179418.36,2724087.0,466537.27,25306122.449
2026-05-06,EQGL,627008298.0,17161449.15,2083527.98,2767087.82,485198.23,25306122.449
2026-05-07,EQGL,640002116.77,17699047.23,1943721.19,2925278.59,504245.91,25306122.449
2026-05-08,EQGL,648286657.04,17608931.01,2118772.32,3027369.09,523540.16,25306122.449
2026-05-11,EQGL,646666414.12,17272472.04,1975424.36,2893189.18,542786.18,25306122.449
2026-05-12,EQGL,648763940.52,17650485.0,1983856.28,3128893.64,562094.63,25306122.449
2026-05-13,EQGL,653358707.86,17439472.94,1960076.12,3226708.14,581539.83,25306122.449
2026-05-14,EQGL,656890512.76,17505039.63,1970671.54,3005329.18,601090.14,25306122.449
2026-05-15,EQGL,658568888.5,17057522.67,2003079.04,3073909.82,620690.41,25306122.449
2026-05-18,EQGL,659122281.24,16619841.72,2061360.37,3165202.95,640307.14,25306122.449
2026-05-19,EQGL,649265527.35,16005964.09,2110788.75,3197929.4,659630.52,25306122.449
2026-05-20,EQGL,653472635.27,16554916.11,2274085.6,3320811.25,679079.11,25306122.449
2026-05-21,EQGL,648048108.38,16325410.56,2179718.9,3305978.95,698366.26,25306122.449
2026-05-22,EQGL,653069743.8,15819984.35,2122640.18,3502275.09,717802.86,25306122.449
2026-05-26,EQGL,648061782.43,15962924.12,1992765.6,3509085.3,737090.41,25306122.449
2026-05-27,EQGL,663474885.3,16594930.1,1990424.66,3622233.09,756836.69,25306122.449
2026-05-28,EQGL,657823586.61,16408293.19,2053196.97,3728063.3,776414.77,25306122.449
2026-05-29,EQGL,654518418.82,16069281.78,2320206.25,3772948.34,795894.49,25306122.449
2026-06-01,EQGL,669928216.01,16862618.99,2130544.01,3783921.08,815832.83,25306122.449
2026-06-02,EQGL,673332800.38,17261266.96,2019998.4,3793531.72,835872.49,25306122.449
2026-06-03,EQGL,671596780.32,16713958.8,2277907.66,3553236.25,855860.49,25306122.449
2026-06-04,EQGL,682378599.18,16394403.84,2504969.54,3611955.8,876169.38,25306122.449
2026-06-05,EQGL,684009249.74,16187248.49,2522414.42,3557333.2,896526.8,25306122.449
2026-06-08,EQGL,696079403.48,15955920.95,2923267.96,3293992.62,917243.45,25306122.449
2026-06-09,EQGL,698370138.53,15747505.61,2898005.04,3222201.54,938028.27,25306122.449
2026-06-10,EQGL,701252431.06,15520955.53,3061368.79,3287218.8,958898.88,25306122.449
2026-06-11,EQGL,694997999.11,15148930.15,3158712.82,3359709.75,979583.34,25306122.449
2026-06-12,EQGL,704904718.72,15114666.88,3296294.47,3373393.73,1000562.65,25306122.449
2026-06-15,EQGL,711445938.33,15602185.51,3549789.32,3408283.75,1021736.64,25306122.449
2026-06-16,EQGL,714125122.71,15605177.64,3579781.37,3523122.75,1042990.36,25306122.449
2026-06-17,EQGL,706365302.58,14921012.37,3737214.62,3619048.55,1064013.14,25306122.449
2026-06-18,EQGL,706411417.99,14541688.05,3750310.41,3504479.68,1085037.29,25306122.449
2026-06-19,EQGL,700138153.18,14277542.35,3786392.07,3378633.84,1105874.73,25306122.449
2026-06-22,EQGL,702164795.68,14105295.99,3717973.12,3427518.7,1126772.49,25306122.449
2026-06-23,EQGL,696756100.0,13935122.0,3741324.42,3647828.14,1147509.28,25306122.449
2026-06-24,EQGL,696749704.97,13934994.1,3738194.31,3599525.18,1168245.88,25306122.449
2026-06-25,EQGL,700869454.75,14661939.03,3742003.15,3688379.89,1189105.09,25306122.449
2026-06-26,EQGL,702737283.97,14706322.84,3768449.41,3567836.01,1210019.89,25306122.449
2026-06-29,EQGL,714095331.32,15355021.44,4198375.88,3493991.21,1231272.73,25306122.449
2026-06-30,EQGL,731439158.95,15373229.02,4152936.02,3473632.06,1253041.75,25306122.449
2026-04-01,EQEM,306767364.25,9230702.47,1865765.68,1671968.34,10955.98,20394736.8421
2026-04-02,EQEM,302970257.51,9205868.76,1746673.67,1784443.65,21776.34,20394736.8421
2026-04-03,EQEM,295764448.23,9227173.84,1697000.55,1829867.14,32339.36,20394736.8421
2026-04-06,EQEM,295845313.72,9238036.05,1665508.58,1874591.58,42905.26,20394736.8421
2026-04-07,EQEM,296402727.37,9346930.44,1719268.54,1798120.3,53491.08,20394736.8421
2026-04-08,EQEM,297840990.83,9258527.46,1838490.3,1815114.13,64128.25,20394736.8421
2026-04-09,EQEM,306493411.88,9850292.29,1873585.9,1939311.27,75074.45,20394736.8421
2026-04-10,EQEM,302414312.99,9843678.52,1925470.33,1785852.8,85874.96,20394736.8421
2026-04-13,EQEM,301334181.09,9938251.9,2027243.91,1784832.82,96636.89,20394736.8421
2026-04-14,EQEM,294208424.99,9693432.98,2006423.82,1740317.67,107144.34,20394736.8421
2026-04-15,EQEM,288894263.84,9634423.37,1995600.6,1643716.85,117461.99,20394736.8421
2026-04-16,EQEM,288698535.85,9793344.89,1925949.92,1677527.41,127772.65,20394736.8421
2026-04-17,EQEM,288323682.44,9601538.04,1885137.97,1592458.89,138069.93,20394736.8421
2026-04-20,EQEM,285556883.08,9546062.24,1859349.64,1562033.56,148268.39,20394736.8421
2026-04-21,EQEM,283493158.9,9379128.37,1827198.02,1394125.78,158393.14,20394736.8421
2026-04-22,EQEM,290078576.84,9553657.27,1909782.25,1448179.57,168753.09,20394736.8421
2026-04-23,EQEM,289617106.42,9372414.36,1795083.03,1460018.11,179096.56,20394736.8421
2026-04-24,EQEM,287053409.89,9103172.33,1895424.87,1507832.65,189348.47,20394736.8421
2026-04-27,EQEM,287421744.28,8966322.04,2002923.95,1546942.1,199613.53,20394736.8421
2026-04-28,EQEM,283955824.47,8622607.83,2041889.82,1658413.66,209754.81,20394736.8421
2026-04-29,EQEM,281426063.18,8463535.18,1983687.01,1585282.97,219805.74,20394736.8421
2026-04-30,EQEM,282547938.78,8488757.38,1975391.34,1530059.28,229896.74,20394736.8421
2026-05-01,EQEM,284585912.04,8383066.36,1996423.98,1592415.56,240060.52,20394736.8421
2026-05-04,EQEM,282002801.8,8403521.76,1926645.08,1455805.99,250132.05,20394736.8421
2026-05-05,EQEM,283084596.99,8282159.77,1977422.08,1348506.46,260242.21,20394736.8421
2026-05-06,EQEM,280557867.24,8216214.5,1901837.22,1310576.46,270262.14,20394736.8421
2026-05-07,EQEM,283896418.77,8121553.06,1960566.77,1424393.4,280401.29,20394736.8421
2026-05-08,EQEM,286246800.0,8153918.82,2002295.76,1394692.65,290624.39,20394736.8421
2026-05-11,EQEM,290983883.65,8333277.03,2059008.51,1389009.45,301016.68,20394736.8421
2026-05-12,EQEM,292648989.46,8307042.38,2091143.4,1542725.17,311468.42,20394736.8421
2026-05-13,EQEM,297628995.82,8375530.24,1981143.18,1496969.14,322098.03,20394736.8421
2026-05-14,EQEM,297628995.82,8678875.92,2005413.69,1481996.81,332732.51,20394736.8421
2026-05-15,EQEM,298807030.13,8847443.83,1906394.97,1569204.55,343404.19,20394736.8421
2026-05-18,EQEM,301513906.92,9338379.63,1936825.35,1601381.96,354172.54,20394736.8421
2026-05-19,EQEM,305079218.85,9292099.15,1964967.74,1585344.22,365068.23,20394736.8421
2026-05-20,EQEM,309571680.95,9334198.53,1973852.03,1535969.89,376124.36,20394736.8421
2026-05-21,EQEM,312914386.63,9261852.44,2060472.3,1654362.71,387299.87,20394736.8421
2026-05-22,EQEM,309587152.69,8932173.25,1906402.66,1747929.26,398356.55,20394736.8421
2026-05-26,EQEM,310862515.77,8759046.46,2096726.42,1764770.76,409458.79,20394736.8421
2026-05-27,EQEM,313018076.64,8861830.67,2051881.53,1812426.66,420638.0,20394736.8421
2026-05-28,EQEM,320062427.24,8963090.18,2022041.85,1843552.3,432068.81,20394736.8421
2026-05-29,EQEM,312542719.0,9039336.7,1962682.76,1768218.49,443231.05,20394736.8421
2026-06-01,EQEM,316207091.16,9159227.59,1887799.27,1690666.63,454524.16,20394736.8421
2026-06-02,EQEM,315121147.82,8843568.97,1862730.72,1664234.58,465778.48,20394736.8421
2026-06-03,EQEM,314165359.09,8947980.04,1996491.61,1744129.47,476998.67,20394736.8421
2026-06-04,EQEM,325546639.25,9283705.87,2069906.9,1805429.19,488625.34,20394736.8421
2026-06-05,EQEM,322997196.24,9105022.33,2051157.89,1749164.47,500160.95,20394736.8421
2026-06-08,EQEM,321908798.71,9364830.46,1839437.22,1827598.1,511657.7,20394736.8421
2026-06-09,EQEM,320428782.35,9250362.26,1722738.44,1759379.12,523101.58,20394736.8421
2026-06-10,EQEM,324690324.14,9621104.41,1801886.78,1694795.85,534697.66,20394736.8421
2026-06-11,EQEM,319199879.16,9594966.97,1753006.41,1637422.95,546097.66,20394736.8421
2026-06-12,EQEM,317650634.15,9769354.66,1662082.04,1676432.24,557442.33,20394736.8421
2026-06-15,EQEM,319164513.33,9576327.42,1740783.28,1670258.47,568841.06,20394736.8421
2026-06-16,EQEM,316081125.08,9216699.51,1605880.84,1700094.01,580129.67,20394736.8421
2026-06-17,EQEM,306931521.05,9262321.16,1574939.69,1643757.14,591091.51,20394736.8421
2026-06-18,EQEM,306831189.48,9462409.89,1582836.53,1654287.96,602049.77,20394736.8421
2026-06-19,EQEM,308214760.28,9188818.54,1490246.54,1716727.91,613057.44,20394736.8421
2026-06-22,EQEM,308355945.78,9257335.04,1450984.04,1659915.53,624070.15,20394736.8421
2026-06-23,EQEM,310180037.27,8995232.7,1536181.04,1704916.5,635148.01,20394736.8421
2026-06-24,EQEM,317474430.23,9399992.3,1432043.54,1647514.49,646486.38,20394736.8421
2026-06-25,EQEM,319838734.15,9330723.58,1457044.75,1601799.73,657909.19,20394736.8421
2026-06-26,EQEM,315768701.36,8955895.83,1364547.41,1661266.11,669186.65,20394736.8421
2026-06-29,EQEM,318012696.04,9054808.6,1308732.02,1726521.6,680544.24,20394736.8421
2026-06-30,EQEM,329474249.99,9362165.06,1446777.7,1733144.64,692311.18,20394736.8421
2026-04-01,FIIG,539160025.81,16761120.66,3326542.13,2623017.82,8558.1,45569620.2532
2026-04-02,FIIG,540206572.02,16284707.71,3238726.14,2596018.59,17132.8,45569620.2532
2026-04-03,FIIG,540583400.03,15862948.32,3290312.23,2677046.88,25713.49,45569620.2532
2026-04-06,FIIG,541953769.24,16052473.23,3289526.74,2467793.78,34315.93,45569620.2532
2026-04-07,FIIG,542474272.88,15652328.41,3151939.18,2607277.9,42926.64,45569620.2532
2026-04-08,FIIG,542625781.31,15666387.84,3275012.37,2540801.49,51539.74,45569620.2532
2026-04-09,FIIG,542074153.67,15549905.02,3300582.14,2475934.4,60144.09,45569620.2532
2026-04-10,FIIG,541898933.3,15401904.79,3487703.04,2500697.15,68745.67,45569620.2532
2026-04-13,FIIG,542412513.0,15706029.92,3501720.13,2641770.34,77355.39,45569620.2532
2026-04-14,FIIG,546012458.6,15691400.88,3466580.76,2849759.39,86022.25,45569620.2532
2026-04-15,FIIG,545479264.83,15583853.27,3287186.8,2726711.19,94680.65,45569620.2532
2026-04-16,FIIG,545535385.0,15662120.03,3490529.68,2596278.73,103339.94,45569620.2532
2026-04-17,FIIG,545568936.31,15883979.6,3343739.01,2646509.82,111999.77,45569620.2532
2026-04-20,FIIG,546119782.1,16704550.0,3263527.31,2579584.82,120668.34,45569620.2532
2026-04-21,FIIG,545254354.84,17067068.43,3444244.32,2500808.54,129323.17,45569620.2532
2026-04-22,FIIG,544520320.05,17250878.87,3466126.57,2299357.05,137966.35,45569620.2532
2026-04-23,FIIG,543694931.62,17098255.02,3498174.24,2339513.86,146596.43,45569620.2532
2026-04-24,FIIG,543534295.73,16832862.14,3317210.94,2243474.12,155223.95,45569620.2532
2026-04-27,FIIG,542855252.01,16884723.33,3310927.05,2395501.44,163840.7,45569620.2532
2026-04-28,FIIG,542219877.7,17204659.81,3395788.27,2633014.82,172447.37,45569620.2532
2026-04-29,FIIG,543225063.09,17597919.73,3509053.05,2704031.34,181069.99,45569620.2532
2026-04-30,FIIG,545436013.63,17881841.9,3501458.53,2734242.37,189727.7,45569620.2532
2026-05-01,FIIG,546108146.4,17774994.11,3509540.79,2905173.25,198396.09,45569620.2532
2026-05-04,FIIG,544138008.18,17954508.05,3581175.57,3177198.75,207033.2,45569620.2532
2026-05-05,FIIG,544626793.38,18486110.11,3571936.33,3216523.77,215678.07,45569620.2532
2026-05-06,FIIG,544054927.55,18530056.81,3708373.26,3079111.0,224313.86,45569620.2532
2026-05-07,FIIG,545984217.36,18096785.2,3648284.64,3139458.35,232980.28,45569620.2532
2026-05-08,FIIG,545244649.7,18687686.54,3453857.58,2847472.84,241634.95,45569620.2532
2026-05-11,FIIG,543794597.79,18869107.78,3476490.82,2766281.83,250266.61,45569620.2532
2026-05-12,FIIG,544893369.19,18874809.85,3725008.15,2631931.57,258915.72,45569620.2532
2026-05-13,FIIG,544932797.22,18955737.8,3693727.9,2678165.18,267565.44,45569620.2532
2026-05-14,FIIG,544916436.54,19320468.41,3738438.6,2737818.94,276214.91,45569620.2532
2026-05-15,FIIG,546006064.37,19794537.28,3771666.49,2836202.43,284881.67,45569620.2532
2026-05-18,FIIG,545081185.55,20350002.59,3760024.23,2644224.93,293533.75,45569620.2532
2026-05-19,FIIG,546473214.94,20187987.55,3711108.04,2403157.74,302207.93,45569620.2532
2026-05-20,FIIG,544158940.27,20350764.74,3798015.81,2448544.51,310845.38,45569620.2532
2026-05-21,FIIG,544262283.07,19976357.09,3995115.42,2563613.17,319484.46,45569620.2532
2026-05-22,FIIG,544688697.25,19324742.06,3965933.14,2476469.1,328130.31,45569620.2532
2026-05-26,FIIG,547539337.68,19636410.53,3911630.63,2564672.54,336821.41,45569620.2532
2026-05-27,FIIG,547740265.47,19431004.41,4004852.87,2617340.35,345515.7,45569620.2532
2026-05-28,FIIG,549459483.92,-2897330.91,4191148.21,2651613.04,354237.28,45569620.2532
2026-05-29,FIIG,552240132.79,19478866.08,4126020.95,2600898.97,363003.0,45569620.2532
2026-06-01,FIIG,553159026.88,19320869.33,4129653.13,2889630.59,371783.3,45569620.2532
2026-06-02,FIIG,553328520.2,19366639.49,4212392.97,2754690.33,380566.29,45569620.2532
2026-06-03,FIIG,554057710.21,19607311.67,4153693.0,2967619.61,389360.86,45569620.2532
2026-06-04,FIIG,554516727.68,19971935.75,4381238.05,2909008.02,398162.71,45569620.2532
2026-06-05,FIIG,554359601.8,20260195.8,4466785.74,2698450.59,406962.07,45569620.2532
2026-06-08,FIIG,553499470.98,20360206.8,4525482.1,2728891.61,415747.78,45569620.2532
2026-06-09,FIIG,553570567.22,20752335.01,4598284.44,2680003.44,424534.61,45569620.2532
2026-06-10,FIIG,555461865.4,20243429.47,4565677.37,2539895.65,433351.47,45569620.2532
2026-06-11,FIIG,554845545.26,20336321.79,4554363.38,2600601.63,442158.54,45569620.2532
2026-06-12,FIIG,556504282.15,20232251.59,4360080.19,2551196.75,450991.94,45569620.2532
2026-06-15,FIIG,573310550.65,20100019.26,4313771.22,2826373.74,459818.48,45569620.2532
2026-06-16,FIIG,557787677.41,20241939.87,4292400.59,2808807.35,468672.26,45569620.2532
2026-06-17,FIIG,559035650.76,20304652.19,4400301.5,2804262.04,477545.84,45569620.2532
2026-06-18,FIIG,560581785.44,20477350.2,4546743.4,2422356.72,486443.96,45569620.2532
2026-06-19,FIIG,562433337.68,20194058.43,4644475.57,2288163.3,495371.48,45569620.2532
2026-06-22,FIIG,562245535.16,20260665.81,4760330.74,2354286.04,504296.01,45569620.2532
2026-06-23,FIIG,566141651.38,20381491.14,4820641.88,2513356.83,513282.38,45569620.2532
2026-06-24,FIIG,567267392.7,20032984.96,5052609.65,2362286.25,522286.63,45569620.2532
2026-06-25,FIIG,567278972.12,20145293.89,5096464.59,2419777.7,531291.06,45569620.2532
2026-06-26,FIIG,567004614.12,20463535.97,5255864.21,2251553.17,540291.13,45569620.2532
2026-06-29,FIIG,566645599.38,20918301.84,5232129.51,2267205.3,549285.5,45569620.2532
2026-06-30,FIIG,565019570.03,20370081.14,5433337.92,2145847.46,558254.07,45569620.2532
2026-04-01,BALM,428217675.85,12506588.01,2738059.63,2244869.55,10195.66,23369565.2174
2026-04-02,BALM,431162102.86,12508550.39,2498250.78,2497369.51,20461.42,23369565.2174
2026-04-03,BALM,434246411.88,13233702.28,2660389.69,2574004.51,30800.62,23369565.2174
2026-04-06,BALM,436574282.88,13378300.94,2685569.24,2581244.64,41195.25,23369565.2174
2026-04-07,BALM,431635708.17,13201496.04,2552779.1,2437721.68,51472.29,23369565.2174
2026-04-08,BALM,434417407.33,12877222.1,2466051.82,2551516.67,61815.56,23369565.2174
2026-04-09,BALM,436129165.82,12674568.97,2486798.7,2421936.77,72199.59,23369565.2174
2026-04-10,BALM,431492084.66,12653845.24,2458324.51,2453400.68,82473.21,23369565.2174
2026-04-13,BALM,431945810.08,12555863.14,2473587.72,2512302.57,92757.63,23369565.2174
2026-04-14,BALM,429970287.13,12327421.73,2317535.8,2681356.29,102995.02,23369565.2174
2026-04-15,BALM,427955803.5,12499458.52,2276383.64,2796948.51,113184.45,23369565.2174
2026-04-16,BALM,425610451.65,12978755.72,2142599.21,2813267.33,123318.03,23369565.2174
2026-04-17,BALM,425159323.26,12931882.12,2144798.6,2795285.57,133440.87,23369565.2174
2026-04-20,BALM,423632599.88,12537268.54,2128120.95,3047531.61,143527.36,23369565.2174
2026-04-21,BALM,428550281.96,12540461.5,2211346.04,3250392.43,153730.94,23369565.2174
2026-04-22,BALM,426940891.28,12233421.98,2136512.73,3112773.77,163896.2,23369565.2174
2026-04-23,BALM,427705006.26,11856038.06,2174301.13,3203905.92,174079.65,23369565.2174
2026-04-24,BALM,431361092.45,11644310.0,2366043.22,3274673.03,184350.15,23369565.2174
2026-04-27,BALM,433085080.11,11710598.0,2431497.93,3192065.46,194661.7,23369565.2174
2026-04-28,BALM,432844138.76,11469332.28,2353736.44,3318698.16,204967.51,23369565.2174
2026-04-29,BALM,429715659.58,11304855.68,2461833.17,3309327.03,215198.84,23369565.2174
2026-04-30,BALM,430362783.0,11242060.72,2479333.58,3298562.5,225445.57,23369565.2174
2026-05-01,BALM,428148683.4,10842243.99,2277897.54,3333791.29,235639.59,23369565.2174
2026-05-04,BALM,429365625.18,11515306.25,2283746.49,3429671.62,245862.58,23369565.2174
2026-05-05,BALM,432134913.27,11514314.09,2326207.91,3457079.31,256151.51,23369565.2174
2026-05-06,BALM,431707217.96,11307161.69,2379493.25,3360567.72,266430.25,23369565.2174
2026-05-07,BALM,434981324.29,11516807.14,2394926.83,3471425.7,276786.95,23369565.2174
2026-05-08,BALM,435098942.29,11177454.12,2284351.26,3440491.66,287146.45,23369565.2174
2026-05-11,BALM,435353570.67,11322357.57,2278322.05,3482828.57,297512.01,23369565.2174
2026-05-12,BALM,432659828.87,11214896.16,2138612.26,3461278.63,307813.43,23369565.2174
2026-05-13,BALM,432118393.37,11587363.82,2151354.04,3421988.5,318101.97,23369565.2174
2026-05-14,BALM,431064196.32,11603171.46,2162717.84,3413955.33,328365.4,23369565.2174
2026-05-15,BALM,433933776.93,11293804.97,1911139.15,3471470.22,338697.16,23369565.2174
2026-05-18,BALM,430567853.05,10740676.63,1952267.63,3444542.82,348948.77,23369565.2174
2026-05-19,BALM,429054638.58,10803792.12,1793118.33,3432437.11,359164.36,23369565.2174
2026-05-20,BALM,429489333.79,10563984.31,1918274.55,3419573.85,369390.29,23369565.2174
2026-05-21,BALM,428280613.66,10306887.57,1895099.25,3426244.91,379587.45,23369565.2174
2026-05-22,BALM,432650771.15,10357720.19,1844962.8,3461206.17,389888.66,23369565.2174
2026-05-26,BALM,434731776.34,10280273.39,2078920.98,3414656.56,400239.42,23369565.2174
2026-05-27,BALM,438666899.15,10784318.76,2101108.44,3366245.62,410683.87,23369565.2174
2026-05-28,BALM,444760435.65,10970559.4,2091299.67,3432719.49,421273.4,23369565.2174
2026-05-29,BALM,448479884.7,10885541.83,1996104.38,3519189.39,431951.49,23369565.2174
2026-06-01,BALM,451607190.67,10756383.6,1855919.48,3612857.53,442704.05,23369565.2174
2026-06-02,BALM,455776301.88,11007793.4,1922920.69,3646210.42,453555.86,23369565.2174
2026-06-03,BALM,456044156.71,11087756.52,2091342.56,3648353.25,464414.06,23369565.2174
2026-06-04,BALM,455003610.53,10833351.77,1972476.72,3425301.04,475247.48,23369565.2174
2026-06-05,BALM,454410047.11,10743747.35,2003428.86,3509795.66,486066.76,23369565.2174
2026-06-08,BALM,453984524.98,10810658.76,1974456.33,3631876.2,496875.92,23369565.2174
2026-06-09,BALM,456121699.18,11182699.07,2003567.55,3507010.43,507735.96,23369565.2174
2026-06-10,BALM,454573351.45,11304665.63,2131859.97,3497426.23,518559.13,23369565.2174
2026-06-11,BALM,455408457.99,12036330.77,2197585.55,3311403.53,529402.19,23369565.2174
2026-06-12,BALM,459493617.01,12329894.02,2202029.88,3206094.14,540342.52,23369565.2174
2026-06-15,BALM,457771637.35,12445347.71,2377242.02,3237439.77,551241.84,23369565.2174
2026-06-16,BALM,461588122.58,12380224.61,2382214.73,3266057.79,562232.03,23369565.2174
2026-06-17,BALM,461300808.24,12488636.97,2282475.73,3215592.87,573215.39,23369565.2174
2026-06-18,BALM,466810287.18,12525860.61,2334908.58,3358480.15,584329.92,23369565.2174
2026-06-19,BALM,462060743.22,12748451.04,2249954.06,3607999.85,595331.36,23369565.2174
2026-06-22,BALM,466998484.97,13446790.82,2505050.42,3735987.88,606450.38,23369565.2174
2026-06-23,BALM,469563640.08,13365362.04,2426603.15,3756128.84,617630.46,23369565.2174
2026-06-24,BALM,471881140.74,13701800.21,2448591.7,3775049.13,628865.73,23369565.2174
2026-06-25,BALM,469675383.41,13111752.85,2427826.09,3743679.43,640048.47,23369565.2174
2026-06-26,BALM,466498278.18,13542017.38,2548109.56,3731986.23,651155.58,23369565.2174
2026-06-29,BALM,465410867.86,13814480.12,2752675.57,3723286.94,662236.79,23369565.2174
2026-06-30,BALM,465949825.97,13336075.24,2792002.42,3711092.51,673330.83,23369565.2174
2026-04-01,MMUS,810099403.22,24281405.06,4841641.44,4003960.66,5786.42,810000000.0
2026-04-02,MMUS,810384762.22,24271437.04,4833586.45,4012968.81,11574.89,810000000.0
2026-04-03,MMUS,810525133.88,24325364.26,4832800.16,4010362.27,17364.35,810000000.0
2026-04-06,MMUS,810504631.01,24339636.5,4847487.2,3997241.22,23153.67,810000000.0
2026-04-07,MMUS,810517377.45,24309737.87,4808265.65,4011634.76,28943.08,810000000.0
2026-04-08,MMUS,810544447.22,24331459.36,4783095.98,4003192.33,34732.68,810000000.0
2026-04-09,MMUS,810608246.46,24278391.71,4791034.31,4002929.6,40522.74,810000000.0
2026-04-10,MMUS,810505365.43,24242474.64,4793677.49,4021041.09,46312.07,810000000.0
2026-04-13,MMUS,810591087.15,24273129.86,4797044.92,4015516.18,52102.0,810000000.0
2026-04-14,MMUS,810433485.71,24150032.48,4803188.3,4029387.03,57890.81,810000000.0
2026-04-15,MMUS,810550051.05,24236891.15,4804216.23,4018164.93,63680.46,810000000.0
2026-04-16,MMUS,810461544.79,24201858.94,4795866.74,4002273.45,69469.47,810000000.0
2026-04-17,MMUS,810530122.68,24193679.79,4791542.11,3977271.84,75258.97,810000000.0
2026-04-20,MMUS,810517076.41,24322693.78,4796307.87,3965021.03,81048.38,810000000.0
2026-04-21,MMUS,810551648.27,24265441.31,4811414.11,3954358.85,86838.03,810000000.0
2026-04-22,MMUS,810495343.8,24315668.62,4812179.82,3967907.55,92627.28,810000000.0
2026-04-23,MMUS,810407234.88,24354759.65,4806230.6,3960933.8,98415.91,810000000.0
2026-04-24,MMUS,810757740.05,24322017.68,4808702.04,3985546.3,104207.03,810000000.0
2026-04-27,MMUS,810601686.45,24334695.53,4804742.48,4000759.86,109997.05,810000000.0
2026-04-28,MMUS,810711868.81,24351209.61,4808547.36,3995577.34,115787.84,810000000.0
2026-04-29,MMUS,810755397.71,24405929.54,4792484.35,4014275.13,121578.95,810000000.0
2026-04-30,MMUS,810427551.75,24371430.71,4811568.81,4012281.21,127367.72,810000000.0
2026-05-01,MMUS,810580012.63,24398174.13,4808600.51,4007089.21,133157.58,810000000.0
2026-05-04,MMUS,810858102.48,24393476.72,4829989.08,4033135.37,138949.42,810000000.0
2026-05-05,MMUS,810939793.2,24394953.21,4815818.72,4038802.41,144741.85,810000000.0
2026-05-06,MMUS,810880656.67,24401330.07,4820061.79,4034309.07,150533.86,810000000.0
2026-05-07,MMUS,811038177.91,24351488.21,4823048.11,4066543.68,156326.99,810000000.0
2026-05-08,MMUS,811137758.45,24361761.41,4829328.47,4074978.94,162120.83,810000000.0
2026-05-11,MMUS,811220465.08,24354459.77,4840733.0,4106218.9,167915.26,810000000.0
2026-05-12,MMUS,811416306.79,24355455.36,4806642.84,4120962.44,173711.09,810000000.0
2026-05-13,MMUS,811486409.96,24365288.97,4818572.33,4114250.65,179507.42,810000000.0
2026-05-14,MMUS,811622546.63,24394348.85,4804196.24,4132569.02,185304.72,810000000.0
2026-05-15,MMUS,811698398.81,24471231.22,4801017.49,4127284.44,191102.57,810000000.0
2026-05-18,MMUS,811844495.09,24410026.12,4784773.09,4110689.51,196901.46,810000000.0
2026-05-19,MMUS,811843772.67,24403151.55,4785906.26,4129551.12,202700.34,810000000.0
2026-05-20,MMUS,812018351.17,24428744.08,4790014.29,4146696.49,208500.47,810000000.0
