Date,FundCode,Subscriptions,Redemptions
2026-05-07,MMUS,0.0,44129.23
2026-05-08,MMUS,1345949.27,1636742.56
2026-05-11,MMUS,600080.0,0.0
2026-05-12,MMUS,208661.0,567334.85
2026-05-13,MMUS,1227738.84,416743.91
2026-05-14,MMUS,208043.53,1367979.5
2026-05-15,MMUS,710124.14,377866.81
2026-05-18,MMUS,1652698.98,2172156.51
2026-05-19,MMUS,0.0,860386.76
2026-05-20,MMUS,0.0,1251986.91
2026-05-21,MMUS,595400.04,1497011.22
2026-05-22,MMUS,802321.5,0.0
2026-05-26,MMUS,848755.07,1139373.47
2026-05-27,MMUS,7318.59,0.0
2026-05-28,MMUS,0.0,573952.93
2026-05-29,MMUS,428448.78,0.0
2026-06-01,MMUS,573350.92,1246164.01
2026-06-02,MMUS,1774878.94,666988.68
2026-06-03,MMUS,0.0,0.0
2026-06-04,MMUS,259464.66,778792.57
2026-06-05,MMUS,0.0,7234.39
2026-06-08,MMUS,510439.99,68847.7
2026-06-09,MMUS,633172.34,664795.01
2026-06-10,MMUS,133710.87,970099.64
2026-06-11,MMUS,604061.54,0.0
2026-06-12,MMUS,1959268.02,0.0
2026-06-15,MMUS,0.0,1466966.37
2026-06-16,MMUS,1009610.21,879946.76
2026-06-17,MMUS,1996818.72,0.0
2026-06-18,MMUS,0.0,456505.36
2026-06-19,MMUS,182572.68,461583.31
2026-06-22,MMUS,0.0,120114.35
2026-06-23,MMUS,268428.15,635123.03
2026-06-24,MMUS,643111.2,318320.17
2026-06-25,MMUS,1406439.68,350566.83
2026-06-26,MMUS,0.0,0.0
2026-06-29,MMUS,1349185.67,1094252.43
2026-06-30,MMUS,565564.21,227367.3
2026-04-01,FDIV,931947.28,0.0
2026-04-02,FDIV,0.0,370251.52
2026-04-03,FDIV,331234.09,361477.18
2026-04-06,FDIV,336311.89,116184.34
2026-04-07,FDIV,619096.58,204453.4
2026-04-08,FDIV,50931.77,635767.52
2026-04-09,FDIV,229384.98,306380.11
2026-04-10,FDIV,182378.32,174239.83
2026-04-13,FDIV,463947.26,278907.7
2026-04-14,FDIV,0.0,343133.32
2026-04-15,FDIV,562031.26,375208.34
2026-04-16,FDIV,511635.14,448173.13
2026-04-17,FDIV,238747.98,0.0
2026-04-20,FDIV,0.0,126841.64
2026-04-21,FDIV,465051.07,503614.97
2026-04-22,FDIV,521226.7,161367.59
2026-04-23,FDIV,267277.77,303906.52
2026-04-24,FDIV,841668.69,594781.27
2026-04-27,FDIV,404698.06,372904.72
2026-04-28,FDIV,239060.48,0.0
2026-04-29,FDIV,0.0,559111.78
2026-04-30,FDIV,519782.43,0.0
2026-05-01,FDIV,90347.11,484502.73
2026-05-04,FDIV,376353.4,188775.42
2026-05-05,FDIV,717006.88,500180.16
2026-05-06,FDIV,43674.87,124387.96
2026-05-07,FDIV,247674.23,401865.04
2026-05-08,FDIV,79813.73,175296.45
2026-05-11,FDIV,452828.36,0.0
2026-05-12,FDIV,0.0,467411.62
2026-05-13,FDIV,0.0,716908.57
2026-05-14,FDIV,67942.38,170755.15
2026-05-15,FDIV,172062.03,0.0
2026-05-18,FDIV,241144.07,140475.52
2026-05-19,FDIV,483575.83,437251.18
2026-05-20,FDIV,130666.57,46485.46
2026-05-21,FDIV,301871.08,235393.53
2026-05-22,FDIV,0.0,0.0
2026-05-26,FDIV,254392.54,289787.02
2026-05-27,FDIV,670442.45,388701.55
2026-05-28,FDIV,769078.43,0.0
2026-05-29,FDIV,573320.39,197024.82
2026-06-01,FDIV,0.0,275884.03
2026-06-02,FDIV,187970.75,635286.66
2026-06-03,FDIV,105849.34,398037.36
2026-06-04,FDIV,310103.04,19750.39
2026-06-05,FDIV,842934.88,162251.6
2026-06-08,FDIV,737258.29,327573.04
2026-06-09,FDIV,538669.91,83242.67
2026-06-10,FDIV,940408.19,145274.73
2026-06-11,FDIV,33206.9,619694.47
2026-06-12,FDIV,21572.16,459164.24
2026-06-15,FDIV,252210.11,0.0
2026-06-16,FDIV,899725.39,0.0
2026-06-17,FDIV,185090.27,498799.16
2026-06-18,FDIV,0.0,329998.64
2026-06-19,FDIV,391623.72,342299.16
2026-06-22,FDIV,0.0,316694.68
2026-06-23,FDIV,24516.33,230331.11
2026-06-24,FDIV,467383.13,359933.87
2026-06-25,FDIV,94246.59,359773.42
2026-06-26,FDIV,821336.89,516104.56
2026-06-29,FDIV,385571.41,643983.57
2026-06-30,FDIV,120789.48,295685.56
