TradeID,TradeDate,TradeTime,Symbol,AssetClass,Side,Quantity,Price,GrossNotional,Fees,Venue,ClearingMember,Key
T100080,2026-06-30,15:37:46,ICICIBANK,Equity,BUY,100,1237.52,123752.0,43.31,BSE,QE-CLEARING,T100080
T100081,2026-06-30,09:54:38,ITC,Equity,BUY,150,449.3,67395.0,23.59,BSE,QE-CLEARING,T100081
T100082,2026-06-30,14:21:57,TCS,Equity,BUY,200,3889.32,777864.0,272.25,BSE,QE-CLEARING,T100082
T100083,2026-06-30,11:22:46,LT,Equity,SELL,200,3632.5,726500.0,254.28,NSE,QE-CLEARING,T100083
T100084,2026-06-30,09:11:38,TATAMOTORS,Equity,BUY,300,981.35,294405.0,103.04,NSE,QE-CLEARING,T100084
T100086,2026-06-30,15:12:32,SUNPHARMA,Equity,SELL,75,1721.93,129144.75,45.2,BSE,QE-CLEARING,T100086
T100087,2026-06-30,12:13:17,AXISBANK,Equity,BUY,50,1130.85,56542.5,19.79,BSE,QE-CLEARING,T100087
T100088,2026-06-30,09:23:24,RELIANCE,Equity,SELL,100,1424.44,142444.0,49.86,NSE,QE-CLEARING,T100088
T100089,2026-06-30,13:46:44,BHARTIARTL,Equity,BUY,500,1584.84,792420.0,277.35,NSE,QE-CLEARING,T100089
T100090,2026-06-30,12:32:03,BAJFINANCE,Equity,SELL,50,7193.27,359663.5,125.88,NSE,QE-CLEARING,T100090
T100091,2026-06-30,11:08:13,ITC,Equity,SELL,500,448.47,224235.0,78.48,BSE,QE-CLEARING,T100091
T100092,2026-06-30,09:01:13,BAJFINANCE,Equity,SELL,500,7174.35,3587175.0,1255.51,NSE,QE-CLEARING,T100092
T100093,2026-06-30,12:15:33,TCS,Equity,SELL,150,3894.15,584122.5,204.44,NSE,QE-CLEARING,T100093
T100094,2026-06-30,13:02:11,ITC,Equity,BUY,500,446.45,223225.0,78.13,NSE,QE-CLEARING,T100094
T100095,2026-06-30,10:40:10,SUNPHARMA,Equity,SELL,300,1724.49,517347.0,181.07,BSE,QE-CLEARING,T100095
T100096,2026-06-30,09:39:58,MARUTI,Equity,SELL,250,12637.34,3159335.0,1105.77,NSE,QE-CLEARING,T100096
T100097,2026-06-30,14:42:43,BHARTIARTL,Equity,SELL,250,1585.04,396260.0,138.69,NSE,QE-CLEARING,T100097
T100098,2026-06-30,09:17:37,BAJFINANCE,Equity,BUY,250,7181.9,1795475.0,628.42,BSE,QE-CLEARING,T100098
T100099,2026-06-30,15:32:01,ICICIBANK,Equity,BUY,150,1242.72,186408.0,65.24,BSE,QE-CLEARING,T100099
T100100,2026-06-30,15:27:55,MARUTI,Equity,BUY,200,12697.13,2539426.0,888.8,NSE,QE-CLEARING,T100100
T100101,2026-06-30,13:21:48,TCS,Equity,BUY,500,3896.81,1948405.0,681.94,BSE,QE-CLEARING,T100101
T100102,2026-06-30,14:42:01,AXISBANK,Equity,BUY,300,1125.72,337716.0,118.2,NSE,QE-CLEARING,T100102
T100103,2026-06-30,10:18:58,SBIN,Equity,BUY,150,811.78,121767.0,42.62,NSE,QE-CLEARING,T100103
T100104,2026-06-30,12:38:44,INFY,Equity,SELL,75,1556.42,116731.5,40.86,BSE,QE-CLEARING,T100104
T100105,2026-06-30,11:22:54,BHARTIARTL,Equity,BUY,150,1585.93,237889.5,83.26,BSE,QE-CLEARING,T100105
T100106,2026-06-30,12:20:29,AXISBANK,Equity,SELL,200,1128.11,225622.0,78.97,NSE,QE-CLEARING,T100106
T100107,2026-06-30,10:48:20,MARUTI,Equity,BUY,500,12606.04,6303020.0,2206.06,NSE,QE-CLEARING,T100107
T100108,2026-06-30,11:08:09,INFY,Equity,SELL,200,1555.84,311168.0,108.91,NSE,QE-CLEARING,T100108
T100109,2026-06-30,10:32:10,BAJFINANCE,Equity,BUY,500,7191.67,3595835.0,1258.54,NSE,QE-CLEARING,T100109
T100110,2026-06-30,10:02:08,BAJFINANCE,Equity,BUY,75,7188.31,539123.25,188.69,NSE,QE-CLEARING,T100110
T100111,2026-06-30,15:16:51,HINDUNILVR,Equity,BUY,75,2359.67,176975.25,61.94,BSE,QE-CLEARING,T100111
T100112,2026-06-30,09:15:48,ICICIBANK,Equity,BUY,250,1237.55,309387.5,108.29,NSE,QE-CLEARING,T100112
T100113,2026-06-30,13:40:08,HDFCBANK,Equity,SELL,300,1691.64,507492.0,177.62,NSE,QE-CLEARING,T100113
T100114,2026-06-30,15:55:27,KOTAKBANK,Equity,SELL,200,1797.65,359530.0,125.84,NSE,QE-CLEARING,T100114
T100115,2026-06-30,12:08:52,ITC,Equity,BUY,75,447.89,33591.75,11.76,NSE,QE-CLEARING,T100115
T100116,2026-06-30,15:07:39,AXISBANK,Equity,BUY,500,1133.87,566935.0,198.43,BSE,QE-CLEARING,T100116
T100117,2026-06-30,13:05:19,AXISBANK,Equity,BUY,500,1133.12,566560.0,198.3,NSE,QE-CLEARING,T100117
T100118,2026-06-30,11:18:51,BAJFINANCE,Equity,BUY,200,7177.83,1435566.0,502.45,NSE,QE-CLEARING,T100118
T100119,2026-06-30,12:25:20,SUNPHARMA,Equity,SELL,150,1723.44,258516.0,90.48,NSE,QE-CLEARING,T100119
T100120,2026-06-30,13:55:41,HINDUNILVR,Equity,SELL,50,2359.63,117981.5,41.29,BSE,QE-CLEARING,T100120
T100121,2026-06-30,12:37:58,ITC,Equity,SELL,200,447.52,89504.0,31.33,BSE,QE-CLEARING,T100121
T100122,2026-06-30,10:32:56,BHARTIARTL,Equity,SELL,500,1579.44,789720.0,276.4,BSE,QE-CLEARING,T100122
T100123,2026-06-30,14:54:32,ITC,Equity,SELL,75,448.38,33628.5,11.77,NSE,QE-CLEARING,T100123
T100124,2026-06-30,15:28:14,ICICIBANK,Equity,BUY,50,1244.55,62227.5,21.78,BSE,QE-CLEARING,T100124
T100125,2026-06-30,14:13:31,ICICIBANK,Equity,BUY,100,1239.62,123962.0,39.05,NSE,QE-CLEARING,T100125
T100126,2026-06-30,13:23:59,ITC,Equity,BUY,200,447.91,89582.0,31.35,BSE,QE-CLEARING,T100126
T100127,2026-06-30,11:57:03,AXISBANK,Equity,SELL,250,1127.68,281920.0,98.67,BSE,QE-CLEARING,T100127
T100128,2026-06-30,14:31:56,TATAMOTORS,Equity,SELL,300,984.82,295446.0,103.41,NSE,QE-CLEARING,T100128
T100129,2026-06-30,13:24:53,AXISBANK,Equity,BUY,250,1132.75,283187.5,99.12,NSE,QE-CLEARING,T100129
T100130,2026-06-30,11:56:26,KOTAKBANK,Equity,BUY,300,1790.25,537075.0,187.98,BSE,QE-CLEARING,T100130
T100131,2026-06-30,12:26:59,TATAMOTORS,Equity,BUY,50,988.38,49419.0,17.3,BSE,QE-CLEARING,T100131
T100132,2026-06-30,10:38:54,SUNPHARMA,Equity,BUY,100,1722.43,172243.0,60.29,BSE,QE-CLEARING,T100132
T100133,2026-06-30,15:43:10,ICICIBANK,Equity,BUY,300,1237.36,371208.0,129.92,NSE,QE-CLEARING,T100133
T100134,2026-06-30,14:18:24,ITC,Equity,BUY,200,448.32,89664.0,31.38,BSE,QE-CLEARING,T100134
T100135,2026-06-30,11:31:00,SBIN,Equity,SELL,200,817.66,163532.0,57.24,NSE,QE-CLEARING,T100135
T100136,2026-06-30,15:11:04,SUNPHARMA,Equity,SELL,75,1724.91,129368.25,45.28,NSE,QE-CLEARING,T100136
T100137,2026-06-30,13:35:24,ICICIBANK,Equity,BUY,250,1235.71,308927.5,108.12,BSE,QE-CLEARING,T100137
T100138,2026-06-30,15:30:20,LT,Equity,SELL,250,3610.45,902612.5,315.91,BSE,QE-CLEARING,T100138
T100139,2026-06-30,15:05:34,SBIN,Equity,SELL,250,814.83,203707.5,71.3,NSE,QE-CLEARING,T100139
T100140,2026-06-30,10:48:29,SBIN,Equity,BUY,250,814.83,203707.5,71.3,NSE,QE-CLEARING,T100140
T100141,2026-06-30,12:36:49,SBIN,Equity,SELL,150,814.03,122104.5,42.74,NSE,QE-CLEARING,T100141
T100142,2026-06-30,10:28:16,MARUTI,Equity,BUY,50,12668.43,633421.5,221.7,NSE,QE-CLEARING,T100142
T100143,2026-06-30,15:24:28,ITC,Equity,BUY,250,446.36,111590.0,39.06,BSE,QE-CLEARING,T100143
T100144,2026-06-30,09:47:18,ITC,Equity,BUY,150,446.5,66975.0,23.44,BSE,QE-CLEARING,T100144
T100145,2026-06-30,09:08:13,SBIN,Equity,BUY,100,816.2,81620.0,28.57,NSE,QE-CLEARING,T100145
T100146,2026-06-30,09:43:53,TCS,Equity,BUY,200,3883.68,776736.0,271.86,BSE,QE-CLEARING,T100146
T100147,2026-06-30,13:29:58,LT,Equity,BUY,300,3608.71,1082613.0,378.91,BSE,QE-CLEARING,T100147
T100148,2026-06-30,14:39:26,TATAMOTORS,Equity,BUY,200,987.62,197524.0,69.13,NSE,QE-CLEARING,T100148
T100149,2026-06-30,11:24:16,BAJFINANCE,Equity,SELL,200,7186.46,1437292.0,503.05,NSE,QE-CLEARING,T100149
T100150,2026-06-30,09:28:21,RELIANCE,Equity,BUY,300,1420.61,426183.0,149.16,NSE,QE-CLEARING,T100150
T100151,2026-06-30,14:44:41,ITC,Equity,BUY,100,447.99,44799.0,15.68,NSE,QE-CLEARING,T100151
T100152,2026-06-30,13:25:16,ICICIBANK,Equity,SELL,300,1244.71,373413.0,130.69,BSE,QE-CLEARING,T100152
T100153,2026-06-30,09:19:52,BHARTIARTL,Equity,SELL,200,1579.4,315880.0,110.56,NSE,QE-CLEARING,T100153
T100154,2026-06-30,13:01:39,ICICIBANK,Equity,SELL,50,1244.78,62239.0,21.78,NSE,QE-CLEARING,T100154
T100155,2026-06-30,15:40:06,RELIANCE,Equity,BUY,500,1415.98,707990.0,247.8,BSE,QE-CLEARING,T100155
T100156,2026-06-30,09:34:44,RELIANCE,Equity,SELL,100,1417.97,141797.0,49.63,BSE,QE-CLEARING,T100156
T100157,2026-06-30,12:08:26,RELIANCE,Equity,BUY,100,1424.35,142435.0,49.85,NSE,QE-CLEARING,T100157
T100158,2026-06-30,13:07:08,AXISBANK,Equity,BUY,200,1132.81,226562.0,79.3,BSE,QE-CLEARING,T100158
T100159,2026-06-30,15:18:06,LT,Equity,BUY,300,3614.24,1084272.0,379.5,NSE,QE-CLEARING,T100159
T100160,2026-06-30,14:36:50,ICICIBANK,Equity,BUY,100,1236.93,123693.0,43.29,BSE,QE-CLEARING,T100160
T100161,2026-06-30,15:22:31,BAJFINANCE,Equity,BUY,500,7187.4,3593700.0,1257.8,NSE,QE-CLEARING,T100161
T100162,2026-06-30,10:22:30,BHARTIARTL,Equity,SELL,200,1583.66,316732.0,110.86,NSE,QE-CLEARING,T100162
T100163,2026-06-30,15:06:19,TCS,Equity,SELL,150,3879.26,581889.0,203.66,BSE,QE-CLEARING,T100163
T100164,2026-06-30,10:55:24,TATAMOTORS,Equity,BUY,50,983.38,49169.0,17.21,BSE,QE-CLEARING,T100164
T100165,2026-06-30,14:19:25,RELIANCE,Equity,SELL,75,1424.71,106853.25,37.4,NSE,QE-CLEARING,T100165
T100166,2026-06-30,15:30:26,RELIANCE,Equity,BUY,300,1415.21,424563.0,148.6,NSE,QE-CLEARING,T100166
T100167,2026-06-30,15:17:58,SBIN,Equity,SELL,300,811.97,243591.0,85.26,BSE,QE-CLEARING,T100167
T100168,2026-06-30,12:13:35,SBIN,Equity,BUY,500,816.77,408385.0,142.93,BSE,QE-CLEARING,T100168
T100169,2026-06-30,10:16:31,BAJFINANCE,Equity,BUY,75,7188.09,539106.75,188.69,NSE,QE-CLEARING,T100169
T100170,2026-06-30,13:06:06,ITC,Equity,SELL,100,449.11,44911.0,15.72,BSE,QE-CLEARING,T100170
T100171,2026-06-30,09:09:29,SBIN,Equity,SELL,150,816.93,122539.5,42.89,NSE,QE-CLEARING,T100171
T100172,2026-06-30,15:16:20,ITC,Equity,BUY,150,448.08,67212.0,23.52,NSE,QE-CLEARING,T100172
T100173,2026-06-30,15:00:33,RELIANCE,Equity,SELL,500,1416.94,708470.0,247.96,BSE,QE-CLEARING,T100173
T100174,2026-06-30,14:32:04,INFY,Equity,BUY,200,1556.5,311300.0,108.95,BSE,QE-CLEARING,T100174
T100175,2026-06-30,11:12:00,SBIN,Equity,SELL,50,817.46,40873.0,14.31,NSE,QE-CLEARING,T100175
T100176,2026-06-30,13:33:28,RELIANCE,Equity,SELL,250,1417.6,354400.0,124.04,BSE,QE-CLEARING,T100176
T100177,2026-06-30,14:23:03,LT,Equity,BUY,300,3610.03,1083009.0,379.05,NSE,QE-CLEARING,T100177
T100178,2026-06-30,11:14:11,HDFCBANK,Equity,SELL,200,1678.7,335740.0,117.51,NSE,QE-CLEARING,T100178
T100179,2026-06-30,13:56:55,INFY,Equity,BUY,75,1565.79,117434.25,41.1,BSE,QE-CLEARING,T100179
T100180,2026-06-30,10:08:11,SUNPHARMA,Equity,SELL,250,1725.9,431475.0,151.02,NSE,QE-CLEARING,T100180
T100181,2026-06-30,09:17:19,INFY,Equity,SELL,150,1557.79,233668.5,81.78,NSE,QE-CLEARING,T100181
T100182,2026-06-30,15:53:16,SBIN,Equity,BUY,100,816.37,81637.0,28.57,BSE,QE-CLEARING,T100182
T100183,2026-06-30,09:30:12,LT,Equity,BUY,300,3625.11,1087533.0,380.64,NSE,QE-CLEARING,T100183
T100184,2026-06-30,15:15:49,BHARTIARTL,Equity,BUY,500,1587.63,793815.0,277.84,BSE,QE-CLEARING,T100184
T100185,2026-06-30,10:45:53,ICICIBANK,Equity,BUY,50,1242.19,62109.5,21.74,BSE,QE-CLEARING,T100185
T100186,2026-06-30,15:11:24,ITC,Equity,BUY,200,448.23,89646.0,31.38,BSE,QE-CLEARING,T100186
T100187,2026-06-30,09:06:12,MARUTI,Equity,BUY,300,12602.68,3780804.0,1323.28,BSE,QE-CLEARING,T100187
T100188,2026-06-30,12:00:02,HDFCBANK,Equity,SELL,500,1685.51,842755.0,294.96,NSE,QE-CLEARING,T100188
T100189,2026-06-30,11:02:45,TCS,Equity,SELL,250,3891.22,972805.0,340.48,BSE,QE-CLEARING,T100189
T100190,2026-06-30,15:38:28,KOTAKBANK,Equity,BUY,250,1794.61,448652.5,157.03,BSE,QE-CLEARING,T100190
T100191,2026-06-30,10:35:47,BHARTIARTL,Equity,BUY,200,1589.13,317826.0,111.24,NSE,QE-CLEARING,T100191
T100192,2026-06-30,14:40:52,HDFCBANK,Equity,SELL,200,1680.86,336172.0,117.66,BSE,QE-CLEARING,T100192
T100193,2026-06-30,15:48:59,BHARTIARTL,Equity,BUY,50,1580.39,79019.5,27.66,NSE,QE-CLEARING,T100193
T100194,2026-06-30,11:39:29,TATAMOTORS,Equity,SELL,75,982.95,73721.25,25.8,NSE,QE-CLEARING,T100194
T100195,2026-06-30,09:37:20,SUNPHARMA,Equity,BUY,75,1716.57,128742.75,45.06,BSE,QE-CLEARING,T100195
T100196,2026-06-30,09:55:28,HINDUNILVR,Equity,SELL,50,2358.25,117912.5,41.27,NSE,QE-CLEARING,T100196
T100197,2026-06-30,09:33:24,TATAMOTORS,Equity,BUY,75,983.94,73795.5,25.83,NSE,QE-CLEARING,T100197
T100198,2026-06-30,12:43:40,HDFCBANK,Equity,SELL,50,1681.35,84067.5,29.42,NSE,QE-CLEARING,T100198
T100199,2026-06-30,15:21:11,KOTAKBANK,Equity,SELL,50,1790.03,89501.5,31.33,BSE,QE-CLEARING,T100199
T100200,2026-06-30,09:59:36,RELIANCE,Equity,SELL,250,1418.69,354672.5,124.14,BSE,QE-CLEARING,T100200
T100201,2026-06-30,15:22:13,TATAMOTORS,Equity,SELL,200,988.14,197628.0,69.17,BSE,QE-CLEARING,T100201
T100202,2026-06-30,13:25:15,SBIN,Equity,SELL,150,816.65,122497.5,42.87,BSE,QE-CLEARING,T100202
T100203,2026-06-30,14:28:27,AXISBANK,Equity,SELL,200,1128.46,225692.0,78.99,BSE,QE-CLEARING,T100203
T100204,2026-06-30,15:14:18,INFY,Equity,BUY,150,1560.3,234045.0,81.92,NSE,QE-CLEARING,T100204
T100205,2026-06-30,15:13:40,HDFCBANK,Equity,BUY,200,1685.98,337196.0,118.02,BSE,QE-CLEARING,T100205
T100206,2026-06-30,11:17:15,SUNPHARMA,Equity,SELL,150,1721.7,258255.0,90.39,BSE,QE-CLEARING,T100206
T100207,2026-06-30,12:19:39,RELIANCE,Equity,SELL,500,1416.41,708205.0,247.87,BSE,QE-CLEARING,T100207
T100208,2026-06-30,15:16:22,HDFCBANK,Equity,SELL,200,1688.51,337702.0,118.2,BSE,QE-CLEARING,T100208
T100209,2026-06-30,09:05:15,ICICIBANK,Equity,BUY,300,1241.54,372462.0,130.36,BSE,QE-CLEARING,T100209
T100210,2026-06-30,12:14:32,RELIANCE,Equity,BUY,500,1422.7,711350.0,248.97,BSE,QE-CLEARING,T100210
T100211,2026-06-30,14:13:55,RELIANCE,Equity,SELL,50,1421.69,71084.5,24.88,NSE,QE-CLEARING,T100211
T100212,2026-06-30,15:39:53,SBIN,Equity,SELL,150,815.95,122392.5,42.84,BSE,QE-CLEARING,T100212
T100214,2026-06-30,10:34:56,SUNPHARMA,Equity,BUY,100,1717.46,171746.0,60.11,NSE,QE-CLEARING,T100214
T100215,2026-06-30,14:00:47,SBIN,Equity,BUY,75,815.93,61194.75,21.42,NSE,QE-CLEARING,T100215
T100216,2026-06-30,15:36:45,LT,Equity,BUY,100,3631.97,363197.0,127.12,NSE,QE-CLEARING,T100216
