TradeID,Symbol,AssetClass,Venue,IntSide,ExchSide,IntQty,ExchQty,IntPrice,ExchPrice,IntFees,ExchFees,IntNotional,ExchNotional,InInternal,InExchange,BreakType,IsBreak,BreakNotional
T100070,SUNPHARMA,Equity,BSE,SELL,SELL,150,150,1716.61,1716.61,90.12,90.12,257491.5,257491.5,1,1,MATCHED,0,0.0
T100071,LT,Equity,BSE,BUY,BUY,500,500,3631.74,3631.74,635.55,635.55,1815870.0,1815870.0,1,1,MATCHED,0,0.0
T100072,ICICIBANK,Equity,NSE,BUY,BUY,150,150,1241.78,1241.78,65.19,65.19,186267.0,186267.0,1,1,MATCHED,0,0.0
T100073,TATAMOTORS,Equity,BSE,SELL,SELL,500,500,987.8,987.8,172.87,172.87,493900.0,493900.0,1,1,MATCHED,0,0.0
T100074,KOTAKBANK,Equity,BSE,BUY,BUY,500,500,1790.51,1790.51,313.34,313.34,895255.0,895255.0,1,1,MATCHED,0,0.0
T100075,LT,Equity,NSE,SELL,SELL,500,500,3615.63,3615.63,632.74,632.74,1807815.0,1807815.0,1,1,MATCHED,0,0.0
T100076,BHARTIARTL,Equity,NSE,BUY,BUY,50,50,1579.65,1579.65,27.64,27.64,78982.5,78982.5,1,1,MATCHED,0,0.0
T100077,TCS,Equity,BSE,BUY,BUY,500,500,3876.83,3876.83,678.45,678.45,1938415.0,1938415.0,1,1,MATCHED,0,0.0
T100078,ITC,Equity,NSE,BUY,BUY,300,300,448.97,448.97,47.14,47.14,134691.0,134691.0,1,1,MATCHED,0,0.0
T100079,ITC,Equity,BSE,SELL,SELL,150,150,446.7,446.7,23.45,23.45,67005.0,67005.0,1,1,MATCHED,0,0.0
T100080,ICICIBANK,Equity,BSE,BUY,BUY,100,100,1237.52,1237.52,43.31,43.31,123752.0,123752.0,1,1,MATCHED,0,0.0
T100081,ITC,Equity,BSE,BUY,BUY,150,150,449.3,449.3,23.59,23.59,67395.0,67395.0,1,1,MATCHED,0,0.0
T100082,TCS,Equity,BSE,BUY,BUY,200,200,3889.32,3889.32,272.25,272.25,777864.0,777864.0,1,1,MATCHED,0,0.0
T100083,LT,Equity,NSE,SELL,SELL,200,200,3632.5,3632.5,254.28,254.28,726500.0,726500.0,1,1,MATCHED,0,0.0
T100084,TATAMOTORS,Equity,NSE,BUY,BUY,300,300,981.35,981.35,103.04,103.04,294405.0,294405.0,1,1,MATCHED,0,0.0
T100085,AXISBANK,Equity,NSE,BUY,,500,,1133.42,,198.35,,566710.0,,1,0,MISSING IN EXCHANGE,1,566710.0
T100086,SUNPHARMA,Equity,BSE,SELL,SELL,75,75,1721.93,1721.93,45.2,45.2,129144.75,129144.75,1,1,MATCHED,0,0.0
T100087,AXISBANK,Equity,BSE,BUY,BUY,50,50,1130.85,1130.85,19.79,19.79,56542.5,56542.5,1,1,MATCHED,0,0.0
T100088,RELIANCE,Equity,NSE,SELL,SELL,100,100,1424.44,1424.44,49.86,49.86,142444.0,142444.0,1,1,MATCHED,0,0.0
T100089,BHARTIARTL,Equity,NSE,BUY,BUY,500,500,1584.84,1584.84,277.35,277.35,792420.0,792420.0,1,1,MATCHED,0,0.0
T100090,BAJFINANCE,Equity,NSE,SELL,SELL,50,50,7193.27,7193.27,125.88,125.88,359663.5,359663.5,1,1,MATCHED,0,0.0
T100091,ITC,Equity,BSE,SELL,SELL,500,500,448.47,448.47,78.48,78.48,224235.0,224235.0,1,1,MATCHED,0,0.0
T100092,BAJFINANCE,Equity,NSE,SELL,SELL,500,500,7174.35,7174.35,1255.51,1255.51,3587175.0,3587175.0,1,1,MATCHED,0,0.0
T100093,TCS,Equity,NSE,SELL,SELL,150,150,3894.15,3894.15,204.44,204.44,584122.5,584122.5,1,1,MATCHED,0,0.0
T100094,ITC,Equity,NSE,BUY,BUY,500,500,446.45,446.45,78.13,78.13,223225.0,223225.0,1,1,MATCHED,0,0.0
T100095,SUNPHARMA,Equity,BSE,SELL,SELL,300,300,1724.49,1724.49,181.07,181.07,517347.0,517347.0,1,1,MATCHED,0,0.0
T100096,MARUTI,Equity,NSE,SELL,SELL,250,250,12637.34,12637.34,1105.77,1105.77,3159335.0,3159335.0,1,1,MATCHED,0,0.0
T100097,BHARTIARTL,Equity,NSE,SELL,SELL,250,250,1585.04,1585.04,138.69,138.69,396260.0,396260.0,1,1,MATCHED,0,0.0
T100098,BAJFINANCE,Equity,BSE,BUY,BUY,250,250,7181.9,7181.9,628.42,628.42,1795475.0,1795475.0,1,1,MATCHED,0,0.0
T100099,ICICIBANK,Equity,BSE,BUY,BUY,150,150,1242.72,1242.72,65.24,65.24,186408.0,186408.0,1,1,MATCHED,0,0.0
T100100,MARUTI,Equity,NSE,BUY,BUY,200,200,12697.13,12697.13,888.8,888.8,2539426.0,2539426.0,1,1,MATCHED,0,0.0
T100101,TCS,Equity,BSE,BUY,BUY,500,500,3896.81,3896.81,681.94,681.94,1948405.0,1948405.0,1,1,MATCHED,0,0.0
T100102,AXISBANK,Equity,NSE,BUY,BUY,300,300,1125.72,1125.72,118.2,118.2,337716.0,337716.0,1,1,MATCHED,0,0.0
T100103,SBIN,Equity,NSE,BUY,BUY,150,150,811.78,811.78,42.62,42.62,121767.0,121767.0,1,1,MATCHED,0,0.0
T100104,INFY,Equity,BSE,SELL,SELL,75,75,1556.42,1556.42,40.86,40.86,116731.5,116731.5,1,1,MATCHED,0,0.0
T100105,BHARTIARTL,Equity,BSE,BUY,BUY,150,150,1585.93,1585.93,83.26,83.26,237889.5,237889.5,1,1,MATCHED,0,0.0
T100106,AXISBANK,Equity,NSE,SELL,SELL,200,200,1128.11,1128.11,78.97,78.97,225622.0,225622.0,1,1,MATCHED,0,0.0
T100107,MARUTI,Equity,NSE,BUY,BUY,500,500,12606.04,12606.04,2206.06,2206.06,6303020.0,6303020.0,1,1,MATCHED,0,0.0
T100108,INFY,Equity,NSE,SELL,SELL,200,200,1555.84,1555.84,108.91,108.91,311168.0,311168.0,1,1,MATCHED,0,0.0
T100109,BAJFINANCE,Equity,NSE,BUY,BUY,500,500,7191.67,7191.67,1258.54,1258.54,3595835.0,3595835.0,1,1,MATCHED,0,0.0
T100110,BAJFINANCE,Equity,NSE,BUY,BUY,75,75,7188.31,7188.31,188.69,188.69,539123.25,539123.25,1,1,MATCHED,0,0.0
T100111,HINDUNILVR,Equity,BSE,BUY,BUY,75,75,2359.67,2359.67,61.94,61.94,176975.25,176975.25,1,1,MATCHED,0,0.0
T100112,ICICIBANK,Equity,NSE,BUY,BUY,250,250,1237.55,1237.55,108.29,108.29,309387.5,309387.5,1,1,MATCHED,0,0.0
T100113,HDFCBANK,Equity,NSE,SELL,SELL,300,300,1691.64,1691.64,177.62,177.62,507492.0,507492.0,1,1,MATCHED,0,0.0
T100114,KOTAKBANK,Equity,NSE,SELL,SELL,200,200,1797.65,1797.65,125.84,125.84,359530.0,359530.0,1,1,MATCHED,0,0.0
T100115,ITC,Equity,NSE,BUY,BUY,75,75,447.89,447.89,11.76,11.76,33591.75,33591.75,1,1,MATCHED,0,0.0
T100116,AXISBANK,Equity,BSE,BUY,BUY,500,500,1133.87,1133.87,198.43,198.43,566935.0,566935.0,1,1,MATCHED,0,0.0
T100117,AXISBANK,Equity,NSE,BUY,BUY,500,500,1133.12,1133.12,198.3,198.3,566560.0,566560.0,1,1,MATCHED,0,0.0
T100118,BAJFINANCE,Equity,NSE,BUY,BUY,200,200,7177.83,7177.83,502.45,502.45,1435566.0,1435566.0,1,1,MATCHED,0,0.0
T100119,SUNPHARMA,Equity,NSE,SELL,SELL,150,150,1723.44,1723.44,90.48,90.48,258516.0,258516.0,1,1,MATCHED,0,0.0
T100120,HINDUNILVR,Equity,BSE,SELL,SELL,50,50,2359.63,2359.63,41.29,41.29,117981.5,117981.5,1,1,MATCHED,0,0.0
T100121,ITC,Equity,BSE,SELL,SELL,200,200,447.52,447.52,31.33,31.33,89504.0,89504.0,1,1,MATCHED,0,0.0
T100122,BHARTIARTL,Equity,BSE,SELL,SELL,500,500,1579.44,1579.44,276.4,276.4,789720.0,789720.0,1,1,MATCHED,0,0.0
T100123,ITC,Equity,NSE,SELL,SELL,75,75,448.38,448.38,11.77,11.77,33628.5,33628.5,1,1,MATCHED,0,0.0
T100124,ICICIBANK,Equity,BSE,BUY,BUY,50,50,1244.55,1244.55,21.78,21.78,62227.5,62227.5,1,1,MATCHED,0,0.0
T100125,ICICIBANK,Equity,NSE,BUY,BUY,100,100,1239.62,1239.62,43.39,39.05,123962.0,123962.0,1,1,FEE BREAK,1,0.0
T100126,ITC,Equity,BSE,BUY,BUY,200,200,447.91,447.91,31.35,31.35,89582.0,89582.0,1,1,MATCHED,0,0.0
T100127,AXISBANK,Equity,BSE,SELL,SELL,250,250,1127.68,1127.68,98.67,98.67,281920.0,281920.0,1,1,MATCHED,0,0.0
T100128,TATAMOTORS,Equity,NSE,SELL,SELL,300,300,984.82,984.82,103.41,103.41,295446.0,295446.0,1,1,MATCHED,0,0.0
T100129,AXISBANK,Equity,NSE,BUY,BUY,250,250,1132.75,1132.75,99.12,99.12,283187.5,283187.5,1,1,MATCHED,0,0.0
T100130,KOTAKBANK,Equity,BSE,BUY,BUY,300,300,1790.25,1790.25,187.98,187.98,537075.0,537075.0,1,1,MATCHED,0,0.0
T100131,TATAMOTORS,Equity,BSE,BUY,BUY,50,50,988.38,988.38,17.3,17.3,49419.0,49419.0,1,1,MATCHED,0,0.0
T100132,SUNPHARMA,Equity,BSE,BUY,BUY,100,100,1722.43,1722.43,60.29,60.29,172243.0,172243.0,1,1,MATCHED,0,0.0
T100133,ICICIBANK,Equity,NSE,BUY,BUY,300,300,1237.36,1237.36,129.92,129.92,371208.0,371208.0,1,1,MATCHED,0,0.0
T100134,ITC,Equity,BSE,BUY,BUY,200,200,448.32,448.32,31.38,31.38,89664.0,89664.0,1,1,MATCHED,0,0.0
T100135,SBIN,Equity,NSE,SELL,SELL,200,200,817.66,817.66,57.24,57.24,163532.0,163532.0,1,1,MATCHED,0,0.0
T100136,SUNPHARMA,Equity,NSE,SELL,SELL,75,75,1724.91,1724.91,45.28,45.28,129368.25,129368.25,1,1,MATCHED,0,0.0
T100137,ICICIBANK,Equity,BSE,BUY,BUY,250,250,1235.71,1235.71,108.12,108.12,308927.5,308927.5,1,1,MATCHED,0,0.0
T100138,LT,Equity,BSE,SELL,SELL,250,250,3610.45,3610.45,315.91,315.91,902612.5,902612.5,1,1,MATCHED,0,0.0
T100139,SBIN,Equity,NSE,SELL,SELL,250,250,814.83,814.83,71.3,71.3,203707.5,203707.5,1,1,MATCHED,0,0.0
T100140,SBIN,Equity,NSE,BUY,BUY,250,250,814.83,814.83,71.3,71.3,203707.5,203707.5,1,1,MATCHED,0,0.0
T100141,SBIN,Equity,NSE,SELL,SELL,150,150,814.03,814.03,42.74,42.74,122104.5,122104.5,1,1,MATCHED,0,0.0
T100142,MARUTI,Equity,NSE,BUY,BUY,50,50,12668.43,12668.43,221.7,221.7,633421.5,633421.5,1,1,MATCHED,0,0.0
T100143,ITC,Equity,BSE,BUY,BUY,250,250,446.36,446.36,39.06,39.06,111590.0,111590.0,1,1,MATCHED,0,0.0
T100144,ITC,Equity,BSE,BUY,BUY,150,150,446.5,446.5,23.44,23.44,66975.0,66975.0,1,1,MATCHED,0,0.0
T100145,SBIN,Equity,NSE,BUY,BUY,100,100,816.2,816.2,28.57,28.57,81620.0,81620.0,1,1,MATCHED,0,0.0
T100146,TCS,Equity,BSE,BUY,BUY,200,200,3883.68,3883.68,271.86,271.86,776736.0,776736.0,1,1,MATCHED,0,0.0
T100147,LT,Equity,BSE,BUY,BUY,300,300,3608.71,3608.71,378.91,378.91,1082613.0,1082613.0,1,1,MATCHED,0,0.0
T100148,TATAMOTORS,Equity,NSE,BUY,BUY,200,200,987.62,987.62,69.13,69.13,197524.0,197524.0,1,1,MATCHED,0,0.0
T100149,BAJFINANCE,Equity,NSE,SELL,SELL,200,200,7186.46,7186.46,503.05,503.05,1437292.0,1437292.0,1,1,MATCHED,0,0.0
T100150,RELIANCE,Equity,NSE,BUY,BUY,300,300,1420.61,1420.61,149.16,149.16,426183.0,426183.0,1,1,MATCHED,0,0.0
T100151,ITC,Equity,NSE,BUY,BUY,100,100,447.99,447.99,15.68,15.68,44799.0,44799.0,1,1,MATCHED,0,0.0
T100152,ICICIBANK,Equity,BSE,SELL,SELL,300,300,1244.71,1244.71,130.69,130.69,373413.0,373413.0,1,1,MATCHED,0,0.0
T100153,BHARTIARTL,Equity,NSE,SELL,SELL,200,200,1579.4,1579.4,110.56,110.56,315880.0,315880.0,1,1,MATCHED,0,0.0
T100154,ICICIBANK,Equity,NSE,SELL,SELL,50,50,1244.78,1244.78,21.78,21.78,62239.0,62239.0,1,1,MATCHED,0,0.0
T100155,RELIANCE,Equity,BSE,BUY,BUY,500,500,1415.98,1415.98,247.8,247.8,707990.0,707990.0,1,1,MATCHED,0,0.0
T100156,RELIANCE,Equity,BSE,SELL,SELL,100,100,1417.97,1417.97,49.63,49.63,141797.0,141797.0,1,1,MATCHED,0,0.0
T100157,RELIANCE,Equity,NSE,BUY,BUY,100,100,1424.35,1424.35,49.85,49.85,142435.0,142435.0,1,1,MATCHED,0,0.0
T100158,AXISBANK,Equity,BSE,BUY,BUY,200,200,1132.81,1132.81,79.3,79.3,226562.0,226562.0,1,1,MATCHED,0,0.0
T100159,LT,Equity,NSE,BUY,BUY,300,300,3614.24,3614.24,379.5,379.5,1084272.0,1084272.0,1,1,MATCHED,0,0.0
T100160,ICICIBANK,Equity,BSE,BUY,BUY,100,100,1236.93,1236.93,43.29,43.29,123693.0,123693.0,1,1,MATCHED,0,0.0
T100161,BAJFINANCE,Equity,NSE,BUY,BUY,500,500,7187.4,7187.4,1257.8,1257.8,3593700.0,3593700.0,1,1,MATCHED,0,0.0
T100162,BHARTIARTL,Equity,NSE,SELL,SELL,200,200,1583.66,1583.66,110.86,110.86,316732.0,316732.0,1,1,MATCHED,0,0.0
T100163,TCS,Equity,BSE,SELL,SELL,150,150,3879.26,3879.26,203.66,203.66,581889.0,581889.0,1,1,MATCHED,0,0.0
T100164,TATAMOTORS,Equity,BSE,BUY,BUY,50,50,983.38,983.38,17.21,17.21,49169.0,49169.0,1,1,MATCHED,0,0.0
T100165,RELIANCE,Equity,NSE,SELL,SELL,75,75,1424.71,1424.71,37.4,37.4,106853.25,106853.25,1,1,MATCHED,0,0.0
T100166,RELIANCE,Equity,NSE,BUY,BUY,300,300,1415.21,1415.21,148.6,148.6,424563.0,424563.0,1,1,MATCHED,0,0.0
T100167,SBIN,Equity,BSE,SELL,SELL,300,300,811.97,811.97,85.26,85.26,243591.0,243591.0,1,1,MATCHED,0,0.0
T100168,SBIN,Equity,BSE,BUY,BUY,500,500,816.77,816.77,142.93,142.93,408385.0,408385.0,1,1,MATCHED,0,0.0
T100169,BAJFINANCE,Equity,NSE,BUY,BUY,75,75,7188.09,7188.09,188.69,188.69,539106.75,539106.75,1,1,MATCHED,0,0.0
T100170,ITC,Equity,BSE,SELL,SELL,100,100,449.11,449.11,15.72,15.72,44911.0,44911.0,1,1,MATCHED,0,0.0
T100171,SBIN,Equity,NSE,SELL,SELL,150,150,816.93,816.93,42.89,42.89,122539.5,122539.5,1,1,MATCHED,0,0.0
T100172,ITC,Equity,NSE,BUY,BUY,150,150,448.08,448.08,23.52,23.52,67212.0,67212.0,1,1,MATCHED,0,0.0
T100173,RELIANCE,Equity,BSE,SELL,SELL,500,500,1416.94,1416.94,247.96,247.96,708470.0,708470.0,1,1,MATCHED,0,0.0
T100174,INFY,Equity,BSE,BUY,BUY,200,200,1556.5,1556.5,108.95,108.95,311300.0,311300.0,1,1,MATCHED,0,0.0
T100175,SBIN,Equity,NSE,SELL,SELL,50,50,817.46,817.46,14.31,14.31,40873.0,40873.0,1,1,MATCHED,0,0.0
T100176,RELIANCE,Equity,BSE,SELL,SELL,250,250,1417.6,1417.6,124.04,124.04,354400.0,354400.0,1,1,MATCHED,0,0.0
T100177,LT,Equity,NSE,BUY,BUY,300,300,3610.03,3610.03,379.05,379.05,1083009.0,1083009.0,1,1,MATCHED,0,0.0
T100178,HDFCBANK,Equity,NSE,SELL,SELL,200,200,1678.7,1678.7,117.51,117.51,335740.0,335740.0,1,1,MATCHED,0,0.0
T100179,INFY,Equity,BSE,BUY,BUY,75,75,1565.79,1565.79,41.1,41.1,117434.25,117434.25,1,1,MATCHED,0,0.0
T100180,SUNPHARMA,Equity,NSE,SELL,SELL,250,250,1725.9,1725.9,151.02,151.02,431475.0,431475.0,1,1,MATCHED,0,0.0
T100181,INFY,Equity,NSE,SELL,SELL,150,150,1557.79,1557.79,81.78,81.78,233668.5,233668.5,1,1,MATCHED,0,0.0
T100182,SBIN,Equity,BSE,BUY,BUY,100,100,816.37,816.37,28.57,28.57,81637.0,81637.0,1,1,MATCHED,0,0.0
T100183,LT,Equity,NSE,BUY,BUY,300,300,3625.11,3625.11,380.64,380.64,1087533.0,1087533.0,1,1,MATCHED,0,0.0
T100184,BHARTIARTL,Equity,BSE,BUY,BUY,500,500,1587.63,1587.63,277.84,277.84,793815.0,793815.0,1,1,MATCHED,0,0.0
T100185,ICICIBANK,Equity,BSE,BUY,BUY,50,50,1242.19,1242.19,21.74,21.74,62109.5,62109.5,1,1,MATCHED,0,0.0
